# Program:featureCounts v1.6.3; Command:"/usr/local/bin/featureCounts" "-p" "-a" "/scratch/10819/styu/MW_multiQC/peaks/final/H3K27ac_filt_iter.saf" "-F" "SAF" "-o" "/scratch/10819/styu/MW_multiQC/peaks/H3K27ac_iter_counts.txt" "/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/DOX/144R/MCW_CT_ROA_093/MCW_CT_ROA_093_nobl.bam" "/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/DOX/144R/MCW_CT_ROA_102/MCW_CT_ROA_102_nobl.bam" "/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/DOX/144R/MCW_CT_ROA_111/MCW_CT_ROA_111_nobl.bam" "/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/DOX/144R/MCW_CT_ROA_120/MCW_CT_ROA_120_nobl.bam" "/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/DOX/144R/MCW_CT_ROA_84/MCW_CT_ROA_84_nobl.bam" "/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/DOX/24R/MCW_CT_ROA_090/MCW_CT_ROA_090_nobl.bam" "/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/DOX/24R/MCW_CT_ROA_108/MCW_CT_ROA_108_nobl.bam" "/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/DOX/24R/MCW_CT_ROA_117/MCW_CT_ROA_117_nobl.bam" "/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/DOX/24R/MCW_CT_ROA_81/MCW_CT_ROA_81_nobl.bam" "/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/DOX/24R/MCW_CT_ROA_99/MCW_CT_ROA_99_nobl.bam" "/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/DOX/24T/MCW_CT_ROA_105/MCW_CT_ROA_105_nobl.bam" "/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/DOX/24T/MCW_CT_ROA_114/MCW_CT_ROA_114_nobl.bam" "/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/DOX/24T/MCW_CT_ROA_78/MCW_CT_ROA_78_nobl.bam" "/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/DOX/24T/MCW_CT_ROA_87/MCW_CT_ROA_87_nobl.bam" "/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/DOX/24T/MCW_CT_ROA_96/MCW_CT_ROA_96_nobl.bam" "/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/VEH/144R/MCW_CT_ROA_103/MCW_CT_ROA_103_nobl.bam" "/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/VEH/144R/MCW_CT_ROA_112/MCW_CT_ROA_112_nobl.bam" "/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/VEH/144R/MCW_CT_ROA_121/MCW_CT_ROA_121_nobl.bam" "/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/VEH/144R/MCW_CT_ROA_85/MCW_CT_ROA_85_nobl.bam" "/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/VEH/144R/MCW_CT_ROA_94/MCW_CT_ROA_94_nobl.bam" "/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/VEH/24R/MCW_CT_ROA_082/MCW_CT_ROA_082_nobl.bam" "/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/VEH/24R/MCW_CT_ROA_091/MCW_CT_ROA_091_nobl.bam" "/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/VEH/24R/MCW_CT_ROA_100/MCW_CT_ROA_100_nobl.bam" "/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/VEH/24R/MCW_CT_ROA_109/MCW_CT_ROA_109_nobl.bam" "/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/VEH/24R/MCW_CT_ROA_118/MCW_CT_ROA_118_nobl.bam" "/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/VEH/24T/MCW_CT_ROA_106/MCW_CT_ROA_106_nobl.bam" "/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/VEH/24T/MCW_CT_ROA_115/MCW_CT_ROA_115_nobl.bam" "/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/VEH/24T/MCW_CT_ROA_79/MCW_CT_ROA_79_nobl.bam" "/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/VEH/24T/MCW_CT_ROA_88/MCW_CT_ROA_88_nobl.bam" "/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/VEH/24T/MCW_CT_ROA_97/MCW_CT_ROA_97_nobl.bam" 
Geneid	Chr	Start	End	Strand	Length	/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/DOX/144R/MCW_CT_ROA_093/MCW_CT_ROA_093_nobl.bam	/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/DOX/144R/MCW_CT_ROA_102/MCW_CT_ROA_102_nobl.bam	/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/DOX/144R/MCW_CT_ROA_111/MCW_CT_ROA_111_nobl.bam	/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/DOX/144R/MCW_CT_ROA_120/MCW_CT_ROA_120_nobl.bam	/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/DOX/144R/MCW_CT_ROA_84/MCW_CT_ROA_84_nobl.bam	/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/DOX/24R/MCW_CT_ROA_090/MCW_CT_ROA_090_nobl.bam	/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/DOX/24R/MCW_CT_ROA_108/MCW_CT_ROA_108_nobl.bam	/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/DOX/24R/MCW_CT_ROA_117/MCW_CT_ROA_117_nobl.bam	/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/DOX/24R/MCW_CT_ROA_81/MCW_CT_ROA_81_nobl.bam	/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/DOX/24R/MCW_CT_ROA_99/MCW_CT_ROA_99_nobl.bam	/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/DOX/24T/MCW_CT_ROA_105/MCW_CT_ROA_105_nobl.bam	/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/DOX/24T/MCW_CT_ROA_114/MCW_CT_ROA_114_nobl.bam	/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/DOX/24T/MCW_CT_ROA_78/MCW_CT_ROA_78_nobl.bam	/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/DOX/24T/MCW_CT_ROA_87/MCW_CT_ROA_87_nobl.bam	/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/DOX/24T/MCW_CT_ROA_96/MCW_CT_ROA_96_nobl.bam	/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/VEH/144R/MCW_CT_ROA_103/MCW_CT_ROA_103_nobl.bam	/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/VEH/144R/MCW_CT_ROA_112/MCW_CT_ROA_112_nobl.bam	/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/VEH/144R/MCW_CT_ROA_121/MCW_CT_ROA_121_nobl.bam	/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/VEH/144R/MCW_CT_ROA_85/MCW_CT_ROA_85_nobl.bam	/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/VEH/144R/MCW_CT_ROA_94/MCW_CT_ROA_94_nobl.bam	/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/VEH/24R/MCW_CT_ROA_082/MCW_CT_ROA_082_nobl.bam	/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/VEH/24R/MCW_CT_ROA_091/MCW_CT_ROA_091_nobl.bam	/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/VEH/24R/MCW_CT_ROA_100/MCW_CT_ROA_100_nobl.bam	/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/VEH/24R/MCW_CT_ROA_109/MCW_CT_ROA_109_nobl.bam	/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/VEH/24R/MCW_CT_ROA_118/MCW_CT_ROA_118_nobl.bam	/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/VEH/24T/MCW_CT_ROA_106/MCW_CT_ROA_106_nobl.bam	/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/VEH/24T/MCW_CT_ROA_115/MCW_CT_ROA_115_nobl.bam	/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/VEH/24T/MCW_CT_ROA_79/MCW_CT_ROA_79_nobl.bam	/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/VEH/24T/MCW_CT_ROA_88/MCW_CT_ROA_88_nobl.bam	/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/VEH/24T/MCW_CT_ROA_97/MCW_CT_ROA_97_nobl.bam
chr11:235896-236397	chr11	235896	236397	.	502	87	52	94	44	38	67	125	29	64	55	73	9	18	70	34	23	80	23	191	40	63	93	63	140	20	115	28	192	44	41
chr11:236518-237019	chr11	236518	237019	.	502	97	66	78	41	57	73	87	61	85	61	36	45	28	85	43	28	81	71	160	41	79	68	57	106	55	117	21	211	46	41
chr11:237347-237848	chr11	237347	237848	.	502	9	25	15	6	8	42	26	7	42	27	46	17	18	46	38	11	20	6	5	12	18	17	13	15	4	19	0	24	7	4
chr11:239529-240030	chr11	239529	240030	.	502	1	4	0	3	1	1	0	0	8	8	5	6	7	3	9	2	0	0	4	5	2	1	2	0	2	2	0	5	0	0
chr11:250688-251189	chr11	250688	251189	.	502	23	19	16	25	14	13	43	5	8	9	14	6	1	19	6	10	31	12	55	8	23	4	15	39	15	41	5	74	7	11
chr11:289741-290242	chr11	289741	290242	.	502	1	3	8	2	7	7	10	1	2	2	3	0	2	2	0	1	4	2	6	0	4	11	2	3	8	2	1	9	3	1
chr11:304202-304703	chr11	304202	304703	.	502	1	3	5	2	5	1	1	0	5	1	6	3	23	2	2	0	3	2	5	1	5	4	2	2	0	4	1	3	2	0
chr11:309937-310438	chr11	309937	310438	.	502	4	0	4	0	1	7	15	10	2	1	4	0	0	5	0	0	8	4	10	5	8	2	0	11	1	16	7	8	11	0
chr11:319489-319990	chr11	319489	319990	.	502	18	3	13	3	7	21	25	2	22	5	15	6	12	22	6	8	20	12	41	9	6	33	12	18	22	27	4	14	8	6
chr11:320303-320804	chr11	320303	320804	.	502	56	34	65	17	30	47	67	25	25	22	24	18	7	15	16	17	86	28	118	42	38	39	34	107	34	91	14	95	24	26
chr11:353302-353803	chr11	353302	353803	.	502	5	12	3	10	2	1	11	2	1	5	8	1	0	2	4	1	3	3	5	6	5	6	2	4	1	3	1	4	6	2
chr11:355747-356248	chr11	355747	356248	.	502	56	31	76	39	67	61	163	24	34	19	39	7	9	18	8	12	110	41	238	20	51	49	38	115	63	113	27	118	15	20
chr11:396380-396881	chr11	396380	396881	.	502	0	3	18	14	8	0	2	7	35	1	14	10	30	34	27	7	24	3	16	6	5	6	7	10	8	44	4	14	3	2
chr11:406873-407374	chr11	406873	407374	.	502	12	4	12	2	2	0	3	6	4	0	0	0	0	1	1	3	13	0	27	4	10	5	7	26	12	20	1	18	6	17
chr11:431848-432349	chr11	431848	432349	.	502	1	2	3	1	0	3	0	0	10	0	5	13	18	3	8	0	0	0	8	3	6	5	3	2	0	3	0	10	0	1
chr11:448122-448623	chr11	448122	448623	.	502	152	69	158	121	57	129	197	69	42	55	53	35	6	25	28	43	150	136	258	57	92	100	83	196	127	241	74	245	71	64
chr11:450020-450521	chr11	450020	450521	.	502	129	93	197	91	56	129	190	91	70	80	110	36	15	80	29	62	158	119	403	52	102	107	108	279	93	369	65	459	48	75
chr11:451968-452469	chr11	451968	452469	.	502	10	8	9	7	13	17	12	0	11	5	16	0	12	15	9	9	11	11	23	9	8	7	13	13	6	14	2	20	12	10
chr11:453767-454268	chr11	453767	454268	.	502	25	8	23	11	10	16	20	2	19	6	22	9	14	4	10	7	38	10	61	9	20	23	19	43	25	44	5	53	21	7
chr11:454749-455250	chr11	454749	455250	.	502	11	21	22	20	7	10	20	5	10	11	6	0	4	16	6	4	12	6	26	9	11	18	7	29	7	19	5	16	6	7
chr11:455400-455901	chr11	455400	455901	.	502	23	20	30	31	21	12	19	11	13	12	13	1	7	3	5	8	45	34	82	15	45	21	24	51	29	36	20	69	19	19
chr11:459491-459992	chr11	459491	459992	.	502	21	5	29	3	7	21	22	14	13	10	9	1	15	8	12	8	16	3	23	6	18	15	28	33	13	16	5	15	7	13
chr11:460535-461036	chr11	460535	461036	.	502	119	64	178	64	72	101	233	50	23	70	51	28	6	14	5	39	103	124	92	29	37	89	88	133	98	163	36	92	49	54
chr11:461529-462030	chr11	461529	462030	.	502	72	41	61	30	30	32	72	25	6	23	27	1	1	2	2	23	68	30	94	33	41	49	44	70	47	76	33	96	33	40
chr11:468269-468770	chr11	468269	468770	.	502	64	32	65	36	41	28	55	21	17	16	12	1	10	8	6	22	90	70	146	36	59	52	31	115	57	127	18	131	38	30
chr11:469469-469970	chr11	469469	469970	.	502	15	26	20	12	14	7	4	0	11	3	6	6	0	2	1	17	24	29	24	12	13	23	32	43	12	31	18	35	17	19
chr11:688605-689106	chr11	688605	689106	.	502	0	0	2	5	0	1	0	2	0	1	11	5	8	1	2	2	2	0	6	0	5	0	3	0	6	1	1	5	1	1
chr11:693364-693865	chr11	693364	693865	.	502	19	13	15	7	2	16	30	3	20	11	28	18	7	14	1	2	10	19	11	3	11	16	10	24	14	19	8	10	4	9
chr11:695164-695665	chr11	695164	695665	.	502	406	182	538	239	171	384	701	164	170	174	274	53	35	175	96	73	434	321	739	192	196	324	170	670	236	603	147	691	226	139
chr11:697181-697682	chr11	697181	697682	.	502	11	12	21	9	1	12	5	5	1	5	5	12	4	12	4	7	11	8	12	10	9	15	21	10	7	7	1	5	9	4
chr11:703408-703909	chr11	703408	703909	.	502	16	10	12	10	5	8	24	14	4	10	1	3	8	7	6	4	6	5	9	4	11	7	1	4	12	12	10	9	8	5
chr11:706335-706836	chr11	706335	706836	.	502	51	27	85	29	18	43	124	21	25	19	33	14	7	26	17	13	46	19	41	13	15	31	21	48	42	52	27	43	10	13
chr11:707058-707559	chr11	707058	707559	.	502	67	24	60	40	35	27	73	36	30	20	36	15	6	13	12	12	53	47	84	23	9	28	30	51	54	63	26	64	26	20
chr11:707958-708459	chr11	707958	708459	.	502	20	13	24	4	5	7	38	25	20	13	17	7	4	8	17	9	17	22	23	12	6	15	9	16	19	17	9	31	6	13
chr11:746216-746717	chr11	746216	746717	.	502	5	4	3	3	0	10	20	1	7	4	15	0	1	14	8	2	12	2	5	6	4	9	4	3	4	3	4	2	1	1
chr11:746819-747320	chr11	746819	747320	.	502	45	23	53	1	26	50	66	15	15	28	25	6	5	37	15	7	57	20	106	23	20	34	28	49	17	32	22	116	34	12
chr11:747328-747829	chr11	747328	747829	.	502	33	36	51	15	20	32	64	45	6	17	15	11	7	18	18	11	29	55	101	10	35	32	26	55	28	71	14	98	22	27
chr11:773859-774360	chr11	773859	774360	.	502	1	1	3	11	9	5	16	0	5	6	13	23	3	11	3	2	5	4	8	1	12	2	8	5	2	7	5	12	2	2
chr11:775771-776272	chr11	775771	776272	.	502	1	0	7	0	6	6	13	4	13	8	16	10	8	28	16	3	2	11	5	2	16	9	5	1	4	1	1	1	1	5
chr11:776606-777107	chr11	776606	777107	.	502	43	33	96	21	26	69	126	33	37	36	63	23	12	49	45	15	73	30	123	31	44	54	48	140	32	158	29	148	27	30
chr11:777232-777733	chr11	777232	777733	.	502	54	43	72	37	33	46	110	34	24	35	41	13	3	19	26	16	105	64	136	31	41	46	40	116	45	154	38	178	28	39
chr11:778107-778608	chr11	778107	778608	.	502	7	12	24	6	15	22	18	12	16	4	46	32	0	50	21	6	16	11	21	11	15	15	35	11	3	10	19	24	10	9
chr11:779000-779501	chr11	779000	779501	.	502	9	11	12	4	4	9	12	5	9	2	22	3	8	25	16	1	10	4	21	9	9	8	10	2	10	5	2	16	1	4
chr11:790904-791405	chr11	790904	791405	.	502	3	3	11	1	8	13	14	1	12	10	13	30	9	16	6	4	8	3	13	2	1	5	9	19	8	18	21	7	3	10
chr11:794334-794835	chr11	794334	794835	.	502	4	3	2	1	0	9	8	4	28	7	16	5	31	17	25	3	13	0	14	14	7	13	3	10	5	11	4	20	6	5
chr11:796310-796811	chr11	796310	796811	.	502	24	11	24	1	10	20	15	7	19	13	13	46	4	10	12	6	12	7	33	7	13	22	12	22	11	39	18	27	11	15
chr11:796988-797489	chr11	796988	797489	.	502	53	30	75	25	24	31	53	16	17	18	32	6	6	9	14	14	46	42	103	20	36	53	47	125	29	74	12	102	15	25
chr11:797772-798273	chr11	797772	798273	.	502	63	34	70	35	35	26	67	6	18	15	13	15	8	14	7	18	50	59	104	29	43	47	33	73	36	89	23	126	34	40
chr11:798380-798881	chr11	798380	798881	.	502	14	20	30	14	13	14	44	25	18	9	9	2	5	8	7	11	25	14	41	2	17	19	4	32	37	49	5	55	8	16
chr11:798981-799482	chr11	798981	799482	.	502	1	8	10	3	3	9	16	4	9	5	10	2	16	7	13	3	15	12	43	14	9	11	10	14	11	19	17	42	7	8
chr11:800099-800600	chr11	800099	800600	.	502	7	3	5	4	5	6	13	0	9	1	4	5	13	10	4	3	8	1	19	3	1	5	0	6	1	4	10	11	3	3
chr11:802370-802871	chr11	802370	802871	.	502	2	2	20	9	2	15	27	9	27	11	37	12	18	11	14	0	7	0	12	2	1	6	8	8	9	12	2	9	1	1
chr11:803804-804305	chr11	803804	804305	.	502	11	7	15	18	23	12	50	13	27	14	53	9	13	21	12	2	21	12	29	5	14	9	4	16	4	3	13	11	3	6
chr11:804480-804981	chr11	804480	804981	.	502	6	6	40	9	15	20	19	4	34	18	60	17	14	32	13	1	18	3	26	12	4	12	19	14	12	21	11	17	2	10
chr11:805219-805720	chr11	805219	805720	.	502	20	10	51	30	32	26	61	18	19	9	23	6	1	21	3	8	57	19	89	24	41	22	21	71	38	107	17	115	19	15
chr11:809275-809776	chr11	809275	809776	.	502	288	152	280	67	93	203	393	117	103	136	144	46	27	145	51	70	336	144	575	95	176	213	139	375	161	294	59	529	117	121
chr11:810248-810749	chr11	810248	810749	.	502	54	12	38	15	12	30	54	19	37	29	53	20	9	29	18	12	33	16	38	8	21	35	29	35	23	44	8	51	11	16
chr11:819423-819924	chr11	819423	819924	.	502	37	61	66	61	26	54	79	24	10	30	24	13	0	15	19	25	50	31	91	23	47	28	33	54	37	111	10	113	19	27
chr11:820155-820656	chr11	820155	820656	.	502	41	46	79	27	21	49	76	32	41	36	64	15	11	37	46	29	58	31	106	42	52	47	46	53	33	62	19	121	33	37
chr11:821109-821610	chr11	821109	821610	.	502	58	26	43	13	21	18	43	5	28	17	40	8	10	15	25	27	63	18	56	26	19	20	27	46	8	27	13	21	12	30
chr11:821855-822356	chr11	821855	822356	.	502	9	2	9	0	12	4	9	0	6	1	13	22	9	1	5	2	6	2	8	5	1	2	3	5	1	4	3	7	2	4
chr11:827139-827640	chr11	827139	827640	.	502	9	7	27	6	17	7	29	0	11	5	24	1	12	12	13	4	37	9	40	14	10	10	6	37	10	26	5	38	7	6
chr11:827839-828340	chr11	827839	828340	.	502	17	21	28	6	4	10	33	3	12	4	22	10	10	15	18	3	17	15	14	13	14	14	5	22	10	24	8	23	11	9
chr11:831461-831962	chr11	831461	831962	.	502	2	3	9	0	2	5	9	11	22	1	21	10	3	21	18	3	7	5	3	5	3	2	4	8	9	4	4	18	7	3
chr11:832479-832980	chr11	832479	832980	.	502	34	28	68	33	26	29	84	40	40	33	43	21	9	43	47	22	68	33	80	27	34	38	49	102	52	77	17	68	20	39
chr11:833231-833732	chr11	833231	833732	.	502	33	21	68	18	13	30	57	19	21	15	24	13	10	40	27	10	78	23	80	13	37	26	17	66	36	49	20	121	27	20
chr11:833811-834312	chr11	833811	834312	.	502	18	19	26	30	6	31	37	10	33	22	27	29	12	28	16	7	34	24	36	10	13	21	15	40	13	37	9	48	12	10
chr11:834818-835319	chr11	834818	835319	.	502	46	40	68	38	21	25	35	25	19	20	22	11	21	13	35	14	95	42	86	38	13	29	42	68	52	95	16	60	21	19
chr11:837914-838415	chr11	837914	838415	.	502	13	4	11	0	2	14	8	3	13	5	14	6	7	33	4	4	14	4	20	20	6	14	11	15	9	11	9	29	10	6
chr11:838506-839007	chr11	838506	839007	.	502	20	30	21	35	10	14	33	10	19	5	15	2	7	2	5	10	29	29	58	10	12	29	32	24	27	31	12	49	20	18
chr11:839855-840356	chr11	839855	840356	.	502	16	13	15	8	17	12	18	7	13	9	29	2	14	17	21	5	8	11	19	4	15	17	9	14	12	24	7	6	6	6
chr11:840889-841390	chr11	840889	841390	.	502	14	7	13	9	10	26	17	6	29	17	39	30	5	33	18	6	13	5	33	10	11	21	17	22	10	12	6	22	12	5
chr11:842011-842512	chr11	842011	842512	.	502	32	35	57	22	18	69	73	17	42	42	71	39	5	54	46	14	62	40	85	33	40	52	66	77	20	90	23	94	14	28
chr11:842520-843021	chr11	842520	843021	.	502	65	48	103	38	35	104	168	62	48	68	43	22	4	53	16	20	135	66	235	43	52	67	50	154	44	173	22	129	46	36
chr11:844076-844577	chr11	844076	844577	.	502	117	38	101	44	30	35	103	60	47	36	53	32	31	50	40	24	177	90	165	60	37	73	50	183	49	198	12	134	27	21
chr11:844587-845088	chr11	844587	845088	.	502	50	37	85	47	29	12	24	10	20	11	19	15	13	29	32	28	118	70	84	34	16	58	40	91	70	142	16	73	38	18
chr11:846685-847186	chr11	846685	847186	.	502	8	7	16	4	1	18	32	6	38	21	56	18	14	25	22	2	19	9	15	7	8	21	10	12	19	23	11	20	4	8
chr11:848244-848745	chr11	848244	848745	.	502	25	21	21	33	16	18	31	7	5	11	11	9	11	9	3	7	53	22	70	21	25	18	21	59	22	56	15	77	7	10
chr11:849120-849621	chr11	849120	849621	.	502	6	7	21	7	18	9	20	5	8	3	13	16	2	5	8	10	24	22	40	12	15	4	19	32	6	14	13	25	8	10
chr11:853326-853827	chr11	853326	853827	.	502	0	1	6	0	0	8	9	0	1	3	1	8	15	6	8	2	8	1	6	2	5	6	7	9	3	2	4	6	2	6
chr11:857857-858358	chr11	857857	858358	.	502	2	8	3	2	5	6	10	12	27	7	9	22	51	23	26	1	14	2	13	6	7	6	2	6	5	8	9	14	7	6
chr11:859597-860098	chr11	859597	860098	.	502	33	20	65	54	17	1	19	24	12	4	5	18	18	12	17	11	75	62	132	36	31	47	34	101	74	119	39	112	29	17
chr11:864479-864980	chr11	864479	864980	.	502	7	6	6	0	3	6	1	5	11	3	9	5	3	3	19	3	7	5	20	6	7	5	4	16	13	11	6	17	6	6
chr11:889294-889795	chr11	889294	889795	.	502	1	2	6	0	3	2	5	0	5	1	6	7	17	6	2	0	0	11	15	3	3	6	5	7	2	4	5	7	3	2
chr11:895274-895775	chr11	895274	895775	.	502	8	0	4	3	7	5	6	0	0	5	8	3	4	4	7	0	6	2	8	5	11	5	10	8	6	8	2	5	2	9
chr11:901904-902405	chr11	901904	902405	.	502	4	4	2	0	0	6	5	2	13	3	17	3	31	15	6	2	3	1	1	1	10	1	5	9	8	4	1	7	2	2
chr11:909890-910391	chr11	909890	910391	.	502	17	12	24	5	9	11	21	16	7	8	19	5	18	14	11	8	15	15	27	10	22	14	27	32	4	37	7	35	13	11
chr11:910669-911170	chr11	910669	911170	.	502	117	86	143	96	55	85	164	44	44	46	58	20	4	42	33	19	157	80	254	67	75	89	71	185	51	190	34	273	33	60
chr11:911579-912080	chr11	911579	912080	.	502	19	7	31	5	6	13	26	12	10	7	5	8	7	9	6	8	32	9	14	12	14	12	14	10	6	20	3	12	4	5
chr11:924160-924661	chr11	924160	924661	.	502	9	6	13	4	0	6	9	3	5	4	8	2	14	11	6	2	10	5	7	9	8	7	9	5	5	7	7	18	1	3
chr11:925653-926154	chr11	925653	926154	.	502	40	23	39	12	20	19	45	28	5	13	12	19	0	14	15	3	36	24	50	14	22	18	14	56	20	75	20	61	7	9
chr11:926279-926780	chr11	926279	926780	.	502	11	16	26	8	20	23	12	8	7	11	20	14	1	7	8	7	22	10	38	7	26	18	15	35	7	15	19	40	4	9
chr11:928580-929081	chr11	928580	929081	.	502	12	15	4	0	11	15	5	7	12	6	1	5	0	6	0	1	5	8	13	3	1	1	8	8	7	6	2	4	3	7
chr11:1261064-1261565	chr11	1261064	1261565	.	502	6	5	4	0	3	3	11	3	4	2	2	0	13	8	1	2	7	0	16	1	5	12	8	7	3	8	7	15	4	1
chr11:1262605-1263106	chr11	1262605	1263106	.	502	10	15	33	9	10	6	13	2	6	5	7	17	4	3	0	12	23	40	49	22	24	40	33	75	30	77	18	47	20	13
chr11:1298280-1298781	chr11	1298280	1298781	.	502	12	1	4	5	12	5	10	4	1	3	6	0	4	3	8	6	6	0	9	2	0	5	2	7	5	9	1	10	3	6
chr11:1304091-1304592	chr11	1304091	1304592	.	502	5	13	9	9	4	10	25	2	3	4	10	0	2	3	2	4	13	7	12	8	8	9	7	12	6	6	16	3	4	9
chr11:1304910-1305411	chr11	1304910	1305411	.	502	4	3	3	2	0	2	10	3	3	4	4	0	1	0	3	4	10	3	7	3	8	4	5	5	8	7	1	5	6	5
chr11:1309469-1309970	chr11	1309469	1309970	.	502	107	61	138	62	41	98	169	53	49	59	49	27	20	46	24	31	158	66	253	50	62	90	67	208	46	173	48	204	46	30
chr11:1437553-1438054	chr11	1437553	1438054	.	502	68	65	103	86	45	36	51	16	23	7	12	2	18	11	18	35	125	128	373	52	59	83	68	139	93	232	40	355	33	39
chr11:1438580-1439081	chr11	1438580	1439081	.	502	30	31	53	54	21	16	12	8	29	12	14	1	4	13	8	22	94	99	146	48	30	39	51	67	45	73	40	129	32	24
chr11:1443660-1444161	chr11	1443660	1444161	.	502	4	1	3	0	0	0	3	2	9	3	5	3	33	15	7	1	4	5	10	2	2	3	4	0	15	7	17	0	2	3
chr11:1451410-1451911	chr11	1451410	1451911	.	502	3	1	0	5	0	3	3	6	4	0	0	4	6	3	3	2	1	6	5	1	2	5	3	3	3	6	7	20	1	1
chr11:1451956-1452457	chr11	1451956	1452457	.	502	0	3	0	0	5	1	3	0	10	1	0	0	10	0	5	1	2	0	7	1	2	2	1	8	1	3	3	3	11	0
chr11:1452985-1453486	chr11	1452985	1453486	.	502	8	15	12	18	10	2	2	1	5	2	4	6	13	3	2	4	10	12	17	8	13	15	6	20	26	6	13	24	6	12
chr11:1459057-1459558	chr11	1459057	1459558	.	502	13	7	10	8	15	3	25	7	9	3	2	1	16	9	13	8	27	12	58	19	11	16	12	24	18	29	9	41	13	24
chr11:1481655-1482156	chr11	1481655	1482156	.	502	13	7	16	6	11	7	2	3	6	1	3	2	3	4	4	6	14	18	38	10	15	18	7	29	9	17	13	28	7	10
chr11:1485999-1486500	chr11	1485999	1486500	.	502	15	20	36	13	8	19	24	8	9	5	10	0	7	5	5	4	52	34	96	21	23	24	15	72	33	46	19	52	12	19
chr11:1487250-1487751	chr11	1487250	1487751	.	502	13	6	16	9	8	12	12	3	11	6	8	6	7	14	1	6	12	10	20	9	16	9	21	16	16	14	5	26	3	6
chr11:1502944-1503445	chr11	1502944	1503445	.	502	8	11	14	31	3	11	31	1	5	11	9	11	10	9	8	13	32	32	38	7	12	18	21	21	28	40	14	13	17	11
chr11:1522999-1523500	chr11	1522999	1523500	.	502	11	12	8	6	12	2	0	3	1	6	5	0	0	0	0	8	10	8	12	5	11	8	5	9	4	8	1	13	6	5
chr11:1760255-1760756	chr11	1760255	1760756	.	502	14	14	10	1	13	38	28	14	14	10	22	2	7	7	11	3	12	13	23	8	10	7	8	8	10	27	13	15	5	7
chr11:1760776-1761277	chr11	1760776	1761277	.	502	23	5	15	0	8	19	9	3	16	5	14	1	7	10	11	5	9	9	24	11	13	11	10	10	10	8	14	22	5	8
